month,predicted_sales,lower_bound,upper_bound
2014-01,17029.11,-9053.52,43237.0
2014-02,21699.41,-8409.3,51094.17
2014-03,14572.08,-14147.95,43273.3
2014-04,13017.79,-16638.18,41801.15
2014-05,10866.47,-15491.93,36896.86
2014-06,10068.01,-19673.4,39107.03
2014-07,13017.85,-16757.38,41726.71
2014-08,17661.52,-9381.13,44042.53
2014-09,10058.4,-13891.7,34197.5
2014-10,9043.41,-12127.49,30663.89
2014-11,12981.47,-13033.29,38943.1
2014-12,11560.73,-13026.13,35036.96
2015-01,17256.01,-3563.39,38904.46
2015-02,19500.19,-1539.07,40773.15
2015-03,12811.6,-7909.15,33718.7
2015-04,12193.03,-9185.66,32979.16
2015-05,14354.5,-12176.04,40258.75
2015-06,11231.82,-12554.43,34571.12
2015-07,12949.4,-11263.83,36420.51
2015-08,21782.82,-4592.43,48130.31
2015-09,14827.56,-14432.99,43598.03
2015-10,15344.79,-14436.77,43810.35
2015-11,14340.2,-9394.87,37816.53
2015-12,15277.52,-11080.71,41634.96
2016-01,28176.78,1823.3,54415.61
2016-02,29124.89,2906.42,55288.7
2016-03,23623.93,-7416.56,55692.86
2016-04,20845.58,-8608.25,49303.67
2016-05,17643.58,-8989.02,44017.88
2016-06,12775.4,-13819.96,38334.15
2016-07,17771.07,-8115.67,44034.28
2016-08,28645.9,-201.43,57642.34
2016-09,19021.36,-12102.11,49859.87
2016-10,17826.39,-8573.92,44036.33
2016-11,19271.52,-6842.13,46058.91
2016-12,17774.87,-8190.01,44227.29
2017-01,31360.87,5542.17,57882.48
2017-02,37848.88,8832.96,66456.22
2017-03,27293.34,-4429.28,59196.4
2017-04,23061.32,-2653.73,48934.6
2017-05,20506.37,-5950.17,46332.36
2017-06,17634.24,-11044.52,46782.33
2017-07,21204.17,-5487.91,47685.62
2017-08,29232.0,3185.37,56076.36
2017-09,20523.03,-8177.64,49777.53
2017-10,20356.65,-6259.83,46483.41
2017-11,20885.67,-5466.41,47500.81
2017-12,88258.86,8462.48,166837.36
2018-01,79480.77,-1420.51,161483.0
2018-02,128155.71,54309.83,201995.11
2018-03,48353.76,-33178.72,129856.57
2018-04,92025.81,12763.23,171433.51
2018-05,75936.98,-4455.29,157181.07
2018-06,52429.57,-26234.71,131586.23
2018-07,71819.89,-9241.15,153313.86
2018-08,84646.19,2641.88,166562.62
2018-09,72626.17,-6419.95,151599.54
2018-10,73114.77,-7811.49,154784.9
2018-11,77330.67,-897.2,156716.27
2018-12,25818.27,-3091.4,54856.2
