date,predicted_sales,lower_bound,upper_bound,actual_sales
2014-01-02,1967.14,-636.12,4715.86,468.9
2014-01-03,1960.25,-713.54,4462.26,2203.15
2014-01-04,1920.67,-667.22,4633.34,119.88999999999999
2014-01-06,1772.04,-877.51,4368.55,5188.5199999999995
2014-01-07,2058.59,-546.37,4987.99,601.0199999999999
2014-01-08,1770.77,-792.06,4214.04,228.32
2014-01-09,1519.16,-915.17,4277.14,469.43
2014-01-10,1447.36,-1223.13,3957.2,4.71
2014-01-11,1351.88,-1247.2,3769.88,4732.09
2014-01-12,1261.26,-1435.19,3850.76,5624.4
2014-02-02,1328.11,-1417.4,4007.25,211.65
2014-02-03,1410.5,-1191.49,4093.72,202.38
2014-02-04,1903.53,-889.96,4517.05,1458.56
2014-02-05,1817.48,-829.58,4587.63,506.12
2014-02-06,1773.41,-924.11,4407.17,738.6
2014-02-07,1914.63,-939.14,4621.15,79.56
2014-02-08,2029.36,-720.26,4884.75,886.28
2014-02-09,2143.2,-641.5,4869.12,3254.15
2014-02-10,2199.73,-540.45,4753.22,598.15
2014-02-11,2657.46,-86.06,5366.31,2126.36
2014-02-12,2522.0,-229.36,4986.79,1771.8
2014-03-01,1820.39,-850.3,4502.56,16.45
2014-03-02,1724.24,-982.0,4324.75,97.11
2014-03-03,1576.6,-963.49,4114.56,1345.8899999999999
2014-03-04,1845.99,-709.07,4439.64,233.45
2014-03-05,1523.47,-1066.31,4020.08,72.64
2014-03-06,1246.87,-1440.01,3759.06,741.3399999999999
2014-03-08,1065.25,-1521.32,3592.8,477.99
2014-03-09,974.9,-1642.42,3757.08,22.08
2014-03-10,838.91,-1651.23,3591.31,862.68
2014-03-11,1128.02,-1470.49,3754.07,2784.17
2014-03-12,827.44,-1851.31,3417.38,505.88
2014-04-01,1015.66,-1811.72,3608.04,288.06
2014-04-02,880.19,-1977.76,3540.08,134.39000000000001
2014-04-03,794.76,-1965.48,3404.77,370.45
2014-04-04,909.86,-1588.67,3565.21,475.84000000000003
2014-04-05,1004.91,-1577.58,3593.08,187.43
2014-04-06,1107.1,-1580.68,3676.93,456.27
2014-04-07,1157.77,-1425.28,3865.77,247.41
2014-04-08,1635.93,-978.6,4307.92,2743.15
2014-04-10,1411.57,-1276.58,3967.15,728.75
2014-04-11,1513.4,-1135.88,4093.14,6693.75
2014-04-12,1586.65,-1319.95,4179.06,129.98
2014-05-01,1271.7,-1477.32,3937.85,19.54
2014-05-03,1194.29,-1608.86,3840.02,705.56
2014-05-04,1157.88,-1478.51,3815.02,5295.1
2014-05-05,1075.25,-1498.27,3675.6,260.98
2014-05-07,1185.93,-1346.02,3666.22,1444.1100000000001
2014-05-08,988.78,-1607.18,3439.56,2408.72
2014-05-09,1001.95,-1454.48,3811.03,296.3
2014-05-10,1000.08,-1653.41,3529.53,191.9
2014-05-11,1012.08,-1610.55,3691.15,1694.5699999999997
2014-05-12,978.53,-1757.33,3490.89,2963.65
2014-06-01,1147.47,-1626.3,3741.84,4407.1
2014-06-02,1062.05,-1617.2,3774.2,330.51
2014-06-04,1143.34,-1759.03,3616.19,1650.6799999999998
2014-06-05,912.78,-1921.47,3426.84,254.46
2014-06-06,889.27,-1568.12,3500.7,1373.99
2014-06-07,844.05,-1686.14,3524.4,1038.47
2014-06-08,808.06,-1848.46,3514.89,262.89
2014-06-09,722.27,-1926.36,3339.12,100.36
2014-06-10,1091.03,-1637.36,3833.0,494.71
2014-06-11,828.0,-1917.73,3595.52,43.68
2014-06-12,619.68,-2165.22,3240.34,1970.99
2014-07-01,1496.53,-1188.06,4213.83,87.16
2014-07-02,1285.45,-1359.44,3782.45,180.32
2014-07-03,1117.75,-1506.24,3501.09,1561.06
2014-07-04,1155.38,-1512.44,3836.11,1021.1700000000001
2014-07-05,1163.73,-1449.1,3854.64,1091.35
2014-07-06,1173.42,-1802.05,3839.8,281.4
2014-07-07,1123.47,-1450.47,3673.7,241.2
2014-07-09,1278.49,-1459.6,3998.26,3523.88
2014-07-10,1075.4,-1655.31,3688.31,237.35999999999999
2014-07-11,1082.68,-1643.3,3670.06,1449.1399999999999
2014-07-12,1065.56,-1731.37,3668.45,548.4
2014-08-02,1543.51,-1336.64,4301.32,14.56
2014-08-04,1600.98,-1234.47,4164.95,1958.7500000000002
2014-08-05,2061.07,-743.51,4776.09,1799.97
2014-08-06,1850.52,-699.75,4626.49,2501.26
2014-08-07,1682.17,-1088.44,4292.86,763.0699999999999
2014-08-08,1721.57,-1109.92,4259.03,3955.6499999999996
2014-08-09,1727.8,-958.65,4093.93,14228.42
2014-08-10,1731.83,-816.78,4399.52,147.39
2014-08-11,1670.78,-746.35,4405.06,333.58
2014-08-12,2071.29,-646.61,4723.28,1095.1299999999999
2014-09-01,801.08,-1961.64,3482.88,40.54
